#width & depth & aveError & maxError & L2 & Converge? \\ \hline 
30 & 8 & 1.3436066208815143e-05 & 7.50077791666914e-05 & 1.93118169737034e-05 & True \\ \hline 
30 & 9 & 0.007732589958861411 & 0.0157313161279959 & 0.009094780772373866 & True \\ \hline 
30 & 10 & 2.9671977381217244e-05 & 0.000390352128168736 & 6.50758973695071e-05 & True \\ \hline 
40 & 1 & 0.023601359110570746 & 0.0790253899636069 & 0.031144814664306516 & False \\ \hline 
40 & 2 & 1.670831044352382e-05 & 6.61644300485875e-05 & 2.3852497763432287e-05 & True \\ \hline 
40 & 3 & 2.563275390853715e-06 & 1.2265365766595e-05 & 3.3260589342779997e-06 & True \\ \hline 
40 & 4 & 5.395511892754644e-06 & 2.62375536943527e-05 & 7.509388913093967e-06 & True \\ \hline 
40 & 5 & 3.7335745189558596e-06 & 2.34757088715121e-05 & 5.639711550778892e-06 & True \\ \hline 
40 & 6 & 2.3553560890932315e-05 & 0.000153416907444193 & 3.743339603956416e-05 & True \\ \hline 
40 & 7 & 1.2484831166395327e-05 & 4.12049509912471e-05 & 1.5179744468017645e-05 & True \\ \hline 
40 & 8 & 0.0003565596214747697 & 0.00130394517346932 & 0.0004544238499963453 & True \\ \hline 
40 & 9 & 1.4487596416754016e-05 & 0.000110641219748686 & 2.219760645737201e-05 & True \\ \hline 
40 & 10 & 1.8031848781365333e-05 & 0.00021184046500089 & 3.5092860611831794e-05 & True \\ \hline 
50 & 1 & 7.802233067599419e-05 & 0.0002548264446669 & 9.757448625430322e-05 & False \\ \hline 
50 & 2 & 5.6696374476304174e-05 & 0.000172970853218324 & 6.834275225742559e-05 & True \\ \hline 
50 & 3 & 1.3854532882666202e-05 & 5.06181256518801e-05 & 1.7310265272697606e-05 & True \\ \hline 
50 & 4 & 0.0015926833535170881 & 0.00337603055432245 & 0.0017894306020543968 & True \\ \hline 
50 & 5 & 0.000163949126243482 & 0.000384973199108352 & 0.00019227573359408763 & True \\ \hline 
50 & 6 & 1.4722075285195223e-05 & 5.8422605995645e-05 & 1.9138752096402113e-05 & True \\ \hline 
50 & 7 & 6.955410704667722e-06 & 7.81186943465961e-05 & 1.2915889047961956e-05 & True \\ \hline 
50 & 8 & 0.00012774796674291884 & 0.000297708435831101 & 0.00014773214951676456 & True \\ \hline 
50 & 9 & 0.00025650212380270195 & 0.000885952459482642 & 0.0003158987592732621 & True \\ \hline 
50 & 10 & 0.00018260458059517936 & 0.000642163200071932 & 0.00022673939821963928 & True \\ \hline 
60 & 1 & 7.089185334679635e-05 & 0.000222744651184437 & 8.920998022017012e-05 & False \\ \hline 
60 & 2 & 1.0978396641199308e-05 & 5.30430557472705e-05 & 1.4789103517519177e-05 & True \\ \hline 
60 & 3 & 1.90767905026459e-05 & 0.000237284461531484 & 4.121316511821175e-05 & True \\ \hline 
60 & 4 & 0.00030445853749446893 & 0.00101257530672827 & 0.0003861302072256795 & True \\ \hline 
60 & 5 & 8.299082112331985e-06 & 8.59035345328607e-05 & 1.3827340610975432e-05 & True \\ \hline 
60 & 6 & 0.0001301896026504204 & 0.000376302044680088 & 0.000155009530113849 & True \\ \hline 
60 & 7 & 7.422120684234973e-05 & 0.000199863190835092 & 8.724577991750605e-05 & True \\ \hline 
60 & 8 & 0.00010961302619233954 & 0.000223290901440798 & 0.0001263181200391331 & True \\ \hline 
60 & 9 & 3.3316150733287184e-05 & 0.00028094911481924 & 5.213827582744374e-05 & True \\ \hline 
60 & 10 & 7.466586387078734e-05 & 0.000693836279312521 & 0.00012132902821277287 & True \\ \hline 
70 & 1 & 0.000101331134187303 & 0.000320531719928629 & 0.00012336109189767025 & False \\ \hline 
70 & 2 & 7.370943779847706e-05 & 0.000203075480709636 & 8.861633038006931e-05 & True \\ \hline 
70 & 3 & 0.00029995898439541156 & 0.000892205360022658 & 0.00036738396915875416 & True \\ \hline 
70 & 4 & 3.7683642568509117e-06 & 1.48171638150174e-05 & 5.028296719698748e-06 & True \\ \hline 
70 & 5 & 0.0026722937768958502 & 0.00900330996626186 & 0.0031069114844717144 & True \\ \hline 
70 & 6 & 2.0771436493453898e-05 & 4.62638040008567e-05 & 2.404276595457956e-05 & True \\ \hline 
70 & 7 & 2.256959384298785e-05 & 0.000110585611538205 & 3.11421960528224e-05 & True \\ \hline 
70 & 8 & 0.0012510220465788429 & 0.00352620447842522 & 0.0015416825989355949 & True \\ \hline 
70 & 9 & 6.524843343291979e-05 & 0.000232849383486222 & 7.701250390056265e-05 & True \\ \hline 
70 & 10 & 0.0003532392526107973 & 0.001300506035534 & 0.00044973088184546695 & True \\ \hline 
80 & 1 & 0.00030808570452429826 & 0.00108478698864412 & 0.00041909224184128455 & True \\ \hline 
80 & 2 & 8.731362301823716e-06 & 5.72629691495408e-05 & 1.3788044607787769e-05 & True \\ \hline 
80 & 3 & 1.6023238323433585e-06 & 8.00568296499549e-06 & 2.139185127904659e-06 & True \\ \hline 
80 & 4 & 2.609421846478817e-06 & 1.3210295721322e-05 & 3.2850171963644037e-06 & True \\ \hline 
80 & 5 & 4.207377130469872e-06 & 2.59555384372057e-05 & 5.744228970434552e-06 & True \\ \hline 
80 & 6 & 0.0004412400796118111 & 0.0009436804229912 & 0.00051467100759637 & True \\ \hline 
80 & 7 & 0.000146481741136047 & 0.000406815943005068 & 0.00017349732664253978 & True \\ \hline 
80 & 8 & 0.00019979398131831193 & 0.000450301717203727 & 0.00022151523639277779 & True \\ \hline 
80 & 9 & 6.16641740467857e-05 & 0.000282448488100329 & 8.092466318053287e-05 & True \\ \hline 
80 & 10 & 0.00015606020463065722 & 0.000853096320268198 & 0.00021790347652608254 & True \\ \hline 
90 & 1 & 0.00022463606016048915 & 0.000695187516274398 & 0.00028838750822420765 & True \\ \hline 
90 & 2 & 2.1155681102938426e-05 & 7.59178611584588e-05 & 2.523857860771383e-05 & True \\ \hline 
90 & 3 & 2.2341899282132325e-06 & 2.18168550012443e-05 & 3.7637143686637415e-06 & True \\ \hline 
90 & 4 & 5.138697318102798e-05 & 0.000173899311146197 & 6.113837177561555e-05 & True \\ \hline 
90 & 5 & 5.4765732707173995e-05 & 0.000198799696649488 & 6.441231994196011e-05 & True \\ \hline 
90 & 6 & 2.3185399483918814e-05 & 0.000175801358075045 & 3.497501159847632e-05 & True \\ \hline 
90 & 7 & 0.0012367682207363698 & 0.00599191871324489 & 0.0017579914403204925 & True \\ \hline 
90 & 8 & 0.00014440833165011457 & 0.000325174248495763 & 0.0001682517453087211 & True \\ \hline 
90 & 9 & 5.6315448115962853e-05 & 0.000469485576283457 & 8.421072158418205e-05 & True \\ \hline 
90 & 10 & 0.0005438385986198327 & 0.00354651932264582 & 0.0007940492260901564 & True \\ \hline 
100 & 1 & 0.0002506940463304611 & 0.00224170670803936 & 0.0004448086241880708 & True \\ \hline 
100 & 2 & 5.209917021467555e-06 & 5.73529915715021e-05 & 1.008750996262275e-05 & True \\ \hline 
100 & 3 & 6.355312542911002e-05 & 0.000161550950225298 & 7.510527433452532e-05 & True \\ \hline 
100 & 4 & 3.1913179109987215e-06 & 1.61504172719873e-05 & 4.357377777460939e-06 & True \\ \hline 
100 & 5 & 1.1818416482806106e-05 & 4.78883052004164e-05 & 1.5846768432046913e-05 & True \\ \hline 
100 & 6 & 1.1808861924760127e-05 & 0.000127824277750044 & 2.106173184635491e-05 & True \\ \hline 
100 & 7 & 4.0109206907624956e-05 & 0.000348112789247512 & 6.713868053306532e-05 & True \\ \hline 
100 & 8 & 2.5091527878366393e-05 & 0.000254099344333181 & 4.174008071250583e-05 & True \\ \hline 
100 & 9 & 0.0031890839097906813 & 0.0143402811512079 & 0.003930690138999833 & True \\ \hline 
100 & 10 & 0.0001619284516581287 & 0.00154848021038889 & 0.0002933307432290376 & True \\ \hline 
100 & 1 & 0.0004296698164670647 & 0.000918595392271904 & 0.0004654266822302708 & True \\ \hline 
120 & 1 & 0.0001871438542712235 & 0.00183130161858536 & 0.0003212712548346149 & True \\ \hline 
120 & 2 & 3.3498903110835344e-06 & 2.11480538250264e-05 & 4.6280649836656564e-06 & True \\ \hline 
120 & 3 & 3.5633508675039556e-06 & 1.61195236101364e-05 & 4.584348674424251e-06 & True \\ \hline 
120 & 4 & 2.3917573413252254e-06 & 8.72469203461179e-06 & 2.9290514791735785e-06 & True \\ \hline 
120 & 5 & 5.225015550659752e-06 & 2.12691675778309e-05 & 6.5842510981679896e-06 & True \\ \hline 
120 & 6 & 3.0332396683439623e-05 & 0.00029689038013192 & 4.7507061114692996e-05 & True \\ \hline 
120 & 7 & 0.0018315614249662104 & 0.00796593133336687 & 0.002504535568170179 & True \\ \hline 
120 & 8 & 0.00012423512889700786 & 0.000494543663868363 & 0.00015385829764550838 & True \\ \hline 
140 & 1 & 0.00022918603376477815 & 0.00241370919211636 & 0.0003923932705395574 & True \\ \hline 
140 & 2 & 4.702862019374939e-06 & 4.55223263591265e-05 & 7.483099745370964e-06 & True \\ \hline 
140 & 3 & 1.3823951927667768e-05 & 4.07283464776143e-05 & 1.6350330383230615e-05 & True \\ \hline 
140 & 4 & 5.537473482925887e-06 & 5.70867712230694e-05 & 9.331684926461868e-06 & True \\ \hline 
140 & 5 & 7.291377772554732e-06 & 4.09256530771174e-05 & 9.838074059259181e-06 & True \\ \hline 
140 & 6 & 0.0009313928258801021 & 0.00429885205212011 & 0.0011714139039855143 & True \\ \hline 
140 & 7 & 0.00023915384527703617 & 0.000855739216087503 & 0.00028173530530391726 & True \\ \hline 
140 & 8 & 7.621240594467492e-05 & 0.000733783284823986 & 0.00014166358101879497 & True \\ \hline 
160 & 1 & 0.0006715736236207977 & 0.00103872142208417 & 0.0007372739694779137 & True \\ \hline 
160 & 2 & 1.0135981095218278e-05 & 5.92097182812168e-05 & 1.6832621664997018e-05 & True \\ \hline 
160 & 3 & 1.9386788461564104e-06 & 7.30807968030156e-06 & 2.511847662261138e-06 & True \\ \hline 
160 & 4 & 0.00019979555494656614 & 0.00100356834054915 & 0.00024755023204633546 & True \\ \hline 
160 & 5 & 2.1096622146623332e-05 & 0.000187791305037432 & 3.9547881065026715e-05 & True \\ \hline 
160 & 6 & 0.00011040155964962406 & 0.000974616815307972 & 0.0002101582287929308 & True \\ \hline 
160 & 7 & 8.877681077445051e-05 & 0.00118044227625891 & 0.0002011155906734561 & True \\ \hline 
160 & 8 & 0.000358343598941495 & 0.00404490285880321 & 0.0006858981721830683 & True \\ \hline 
180 & 1 & 0.000187405099336724 & 0.000729388484860483 & 0.00023309415985446532 & True \\ \hline 
180 & 2 & 8.496386556834278e-06 & 3.08327872018399e-05 & 1.0729839800211035e-05 & True \\ \hline 
180 & 3 & 0.00020416008471271172 & 0.000374009306611356 & 0.00023096358326257375 & True \\ \hline 
180 & 4 & 4.4287682381592465e-06 & 2.72614439769114e-05 & 6.234111240716437e-06 & True \\ \hline 
180 & 5 & 5.827597308709861e-05 & 0.00030255514923816 & 7.913024540380631e-05 & True \\ \hline 
180 & 6 & 0.0006561078429090557 & 0.00190377815051113 & 0.00080359775947715 & True \\ \hline 
180 & 7 & 0.000133736706835136 & 0.00129274827204773 & 0.00023958926020161358 & True \\ \hline 
180 & 8 & 0.00012576088584998458 & 0.00122354413787784 & 0.0002369410739528437 & True \\ \hline 
200 & 1 & 0.002073784070681088 & 0.00522902386972479 & 0.0025722808108057287 & True \\ \hline 
200 & 2 & 1.7065095809288207e-05 & 0.000121949170984958 & 2.940195766394337e-05 & True \\ \hline 
200 & 3 & 1.3144118357333672e-05 & 4.18022434156562e-05 & 1.739923165538816e-05 & True \\ \hline 
200 & 4 & 4.115715028307488e-05 & 0.000246057083590934 & 5.3755061131253186e-05 & True \\ \hline 
200 & 5 & 1.0528866435052094e-05 & 0.000104043922716901 & 1.8009789214151682e-05 & True \\ \hline 
200 & 6 & 0.0004889039753029384 & 0.00183038005933334 & 0.0006179715818090077 & True \\ \hline 
200 & 7 & 0.00013040624127057853 & 0.000486730237933664 & 0.00015745285441057832 & True \\ \hline 
200 & 8 & 0.00021859978863896366 & 0.00202711053996119 & 0.00036371557013522486 & True \\ \hline 

